N°Obs;Avez-vous déjà entendu parler des Deep Fakes ?;Comment évalueriez vous votre niveau de connaissance des Deep Fakes ?;Avez-vous déjà vu un Deep Fake sur les réseaux sociaux ?;_Sur quelles plateformes avez-vous principalement vu des Deep Fakes ? (Plusieurs choix possibles);Selon vous, à quelle fin les Deep Fakes sont-ils le plus souvent utilisés ?;Selon vous, quel est l’impact global des Deep Fakes sur la société ?;Quels domaines vous semblent les plus touchés par les deep fakes ? (Plusieurs choix possibles);Faites-vous confiance aux informations que vous trouvez sur les réseaux sociaux ?;Depuis que vous avez entendu parler des Deep Fakes, votre confiance dans les médias sociaux a-t-elle changé ?;À quelle fréquence vérifiez-vous l’authenticité d’une information avant de la partager ?;Quelles sont vos méthodes de vérification des informations en ligne ? (Plusieurs choix possibles);Avez-vous réduit la fréquence de partage d’informations sur les réseaux sociaux à cause de la méfiance liée aux Deep Fakes;Parmi les 4 photos, laquelle vous semble être une vraie photo ?;_Selon vous, laquelle vous semble être une vraie photo ?;Selon vous, quelle image est authentique ?;Parmi les 4 photos, laquelle est un Deepfakes ?;D’après vous, la personne dans cette vidéo est-elle réelle ou générée artificiellement ?;Selon vous, qui est le principal responsable de la lutte contre les deep fakes ?;Pensez-vous que les plateformes sociales devraient mettre en place des outils d’identification automatique des deep fakes ?;Seriez-vous favorable à des formations ou des campagnes de sensibilisation sur les deep fakes ?;Seriez-vous prêt(e) à suivre régulièrement des formations sur la détection des deep fakes ?;Quel est votre tranche d'âge ?;Vous êtes ...?;Quel est votre niveau d’éducation actuel ?;Quel est votre principal réseau social utilisé au quotidien ?;Clé;Date de saisie;Date de dernière modification;Date de dernier enregistrement;Temps de saisie;Langue;Progression;Dernière question saisie;Origine;Appareil utilisé pour la saisie;Campagne de diffusion
1;Oui;Peu informé(e);Oui;Instagram;Désinformation (propagande, manipulation politique);Très négatif;"Divertissement/Célébrités;Journalisme/Actualités";Non;Fortement diminué;Rarement;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Légèrement;1;3;3;2;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;YouTube;8547-HRVN;15/04/2025 00:16:35;;15/04/2025 00:27:52;677,0429006;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
2;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Divertissement (humour, création artistique);Positif;Journalisme/Actualités;Non;Légèrement diminué;Toujours;Vérifier l’auteur et la crédibilité du média;Très fortement;1;4;3;4;Non, elle n'est pas réelle;Je ne sais pas;Oui;Non;Pas du tout prêt(e);26-40 ans;Femme;Bac +3 / Licence;LinkedIn;6EAA-F3YK;15/04/2025 00:38:53;;15/04/2025 00:45:06;372,9561246;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
3;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Autres;Neutre;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Pas du tout;1;3;3;1;Oui, elle est réelle;Je ne sais pas;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;Instagram;XF4U-CJJ8;15/04/2025 00:58:23;;15/04/2025 01:02:13;229,8922185;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
4;Oui;Bien informé(e);Oui;"TikTok;YouTube";Divertissement (humour, création artistique);Négatif;"Politique;Divertissement/Célébrités";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);26-40 ans;Homme;Bac +5 et plus;YouTube;JMMB-5E2K;15/04/2025 01:13:24;;15/04/2025 01:21:19;474,3233261;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
5;Oui;Moyennement informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;TikTok;YouTube;Autres";Divertissement (humour, création artistique);Négatif;"Politique;Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;3;2;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +5 et plus;Instagram;BVF4-QSPX;15/04/2025 01:52:58;;15/04/2025 02:03:55;656,300064;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
6;Oui;Bien informé(e);Oui;"Facebook;X anciennement Twitter";Divertissement (humour, création artistique);Négatif;Journalisme/Actualités;Cela dépend des sources;Légèrement diminué;Souvent;Vérifier l’auteur et la crédibilité du média;Beaucoup;1;3;3;4;Oui, elle est réelle;Les médias et journalistes;Oui;Oui;Très prêt(e);18-25 ans;Homme;Bac +5 et plus;X anciennement Twitter;VE6A-AM3U;15/04/2025 02:21:00;;15/04/2025 02:25:29;268,6976394;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
7;Oui;Moyennement informé(e);Oui;"Facebook;Instagram;TikTok;YouTube";Divertissement (humour, création artistique);Neutre;"Politique;Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Jamais;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;2;2;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Peu prêt(e);18-25 ans;Femme;Bac +3 / Licence;TikTok;ZK4U-UF3C;15/04/2025 02:30:25;;15/04/2025 02:37:13;408,16576829999997;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
8;Oui;Peu informé(e);Oui;"Facebook;X anciennement Twitter;Instagram";Divertissement (humour, création artistique);Neutre;"Politique;Divertissement/Célébrités;Journalisme/Actualités";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Pas du tout;1;3;2;3;Oui, elle est réelle;Je ne sais pas;Sans opinion;Sans opinion;Pas du tout prêt(e);26-40 ans;Homme;Bac +5 et plus;Aucun;HT5N-2L2L;15/04/2025 04:03:20;;15/04/2025 04:11:59;519,3676752;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
9;Oui;Moyennement informé(e);Oui;Instagram;Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;1;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Peu prêt(e);18-25 ans;Femme;Bac +5 et plus;Instagram;EGWE-EPC9;15/04/2025 06:46:02;;15/04/2025 06:50:33;271,2571318;FR;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
10;Non;Pas du tout informé(e);Non;Autres;Autres;Négatif;"Politique;Divertissement/Célébrités";Non;Légèrement diminué;Parfois;Analyser les commentaires et réactions d’autres utilisateurs;Très fortement;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Très prêt(e);26-40 ans;Femme;Bac +5 et plus;Aucun;RNGN-U4HE;15/04/2025 07:30:34;;15/04/2025 07:34:21;226,54153050000002;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
